Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
2014,620500,天水,5228228,17.3,35.55,47.15,15852,NaN,13113,40725.9,14277,,,3342674,77106,2242882,390452,22,11186,4623,2717,150226,360000,279837
2013,620500,天水,4543365,18.63,37.08,44.29,12019,NaN,11827,38325.41,14277,,117.76,3005266,53803,2000421,351984,20,11132,6503,3152,143566,160000,276645
2012,620500,天水,4128747,18.98,39.38,41.64,12593,NaN,10914,34728.37,14313,,116.7,2459691,42537,1742527,348281,21,10349,6081,2245,124100,140000,556482
2011,620500,天水,3575508,18.75,39.76,41.49,10931,NaN,10628,28324.19,14403,,111.2,1991201,24900,1500884,259015,22,9355,7289,2494,105639,106998,588813
2010,620500,天水,3002285,20.05,37.73,42.23,8758,NaN,11023,23928.17,14359,,109.1,1633282,4828,1255549,206847,25,8498,2958,1873,69354,131652,
2009,620500,天水,2600022,18.43,38.87,42.7,7584,NaN,8869,21993.41,14359,,104.46,1235115,17662,1096252,203530,24,9416,2119,1809,24700,59000,
2008,620500,天水,2265698,18.67,36.82,44.52,6626,0.270961059,7402,17210.53,14359,,103.36,1143887,28250,894182,161312,21,6765,1857,1665,32386,48968,
2007,620500,天水,1962073,18.25,37.36,44.39,5550,0.266828278,8092,15615.94,14359,383,85.95,876756,21816,740910,113705,20,7317,1783,1630,22030,54800,
2006,620500,天水,1663925,17.34,37.82,44.84,4738,0.247772038,12100,137085.5,14359,382,84.7,799532,20345,639437,80673,18,6729,1629,1649,21521,45700,
2005,620500,天水,1461676,17.65,38.34,44.01,4189,0.236557911,29000,11193.27,14317,382,83.9,717358,18938,484600,60581,17,6468,1544,1488,26000,38000,
2004,620500,天水,1254685,17.9,39.76,42.33,3619,0.235407441,23265,10480.76,14317,382,79.2,589582,,422442,51261,18,6985,1715,2028,24032,34000,
2003,620500,天水,1080145,17.95,40.44,41.61,3136,0.22494503,38000,9585.84,14317,417,74.5,449866,0,375398,42340,18,6428,1693,1611,21576,25489,
2002,620500,天水,975060,18.47,41.79,39.74,2852,0.190559441,23000,8552.56,14314,382,69.7,371165,,340056,,12,6703,1613,1572,18165,80000,
2001,620500,天水,875000,18.86,41.37,39.77,2576,0.132846201,20190,8753.5,14317,383,72.5,348620,0,305032,,15,6607,1604,1498,13638,3300,
2000,620500,天水,803094,17.7,42.5,39.8,,0.130442525,20010,6681,14317,384,57.67,287943,,275500,,15,5993,1528,1354,,,
1999,620500,天水,736297,18,43.6,38.5,,0.128715252,19000,5661,14317,390,,296511,58,251213,,14,,1143,276,,,
1998,620500,天水,722019,22.9,41.4,35.7,,0.128244135,,5049,14317,391,,,,242189,,15,5184,1142,277,,,
1997,620500,天水,611520,15.18,45.6,39.22,,0.126498248,,4536,14317,391,,,,225661,,15,,1144,304,,,
1996,620500,天水,671198,29.8,38.1,32.1,,0.125656578,,4461,14317,391,,,,230027,,,,1146,306,,,
1995,620500,天水,562107,28.5,39.4,32.1,,0.125131979,,4147,14317,391,,,,209667,,,,1143,302,,,
1994,620500,天水,457707,28.017,41.678,30.305,,0.123449977,,3914.04,14317,391,72.3,,,169846,,,,1144,302,,,
1993,620500,天水,373528,,,,,0.121148344,,,14325,392,,,,142225,9195,,,1139,298,,,
1992,620500,天水,266954,,,,,0.121800206,,,,,,,,,7832,,,1106,284,,,
1991,620500,天水,230300,35.345,39.818,24.837,783,0.118800851,,,14325,393.333,71,,,118679,,,,1040,249,,,
1990,620500,天水,204000,38.529,36.225,25.245,706,0.117554484,,,14325,393.333,72.58,,,98422,,,,2148,298,,,
2021,620600,武威,6000000,31.17,17.33,51.5,41361,NaN,,80206,,,,,,1619987,369065,,11155,,,1363,25180000,158273
2020,620600,武威,5260000,30.72,16.17,53.11,35571,#DIV/0!,,75582,,,,,,1438429,366836,,9095,,,,,149089
2019,620600,武威,4880000,29.52,15.6,54.98,26744,NaN,5676,69337,32347,,,,,1445948,358948,,8847,,,91428,540000,144548
2018,620600,武威,4692653,25.69,28.07,46.25,25691,NaN,5994,64998,32347,,,,,2057177,327658,,8310,,,103100,450000,139576
2017,620600,武威,4304359,,,,23617,NaN,5694,61170,32347,,,,,1917220,306035,,6826,,,111806,350000,133538
2016,620600,武威,4617272,23.45,36.98,39.57,25396,NaN,5716,56148,33238,,,4700967,,1781506,62808,,9263,,,150100,270000,133000
2015,620600,武威,4161872,23.98,36.65,39.37,22931,NaN,5709,52009,33238,,,3923748,,1625758,269953,27,8698,,,127658,180000,131641
2014,620600,武威,4059679,23.33,42.59,34.09,22406,NaN,5767,41062.33,33238,,,5005721,,1316600,214253,26,7969,5036,4004,116623,150000,304393
2013,620600,武威,3811838,23.4,43.59,33.01,20168,NaN,5484,34717.4,33238,,103.04,3973301,,1174620,217056,17,8332,4864,2853,104100,110000,126854
2012,620600,武威,3415423,24.22,44.04,31.74,18759,NaN,5221,29740.68,33238,,101.8,3245641,,1023189,208301,18,7130,286597,554458,77500,90000,303582
2011,620600,武威,2728506,24.56,42.34,33.1,15007,NaN,7609,27016.52,33238,,99.9,2242792,,906569,170181,17,6514,3934,5449,55860,42560,134100
2010,620600,武威,2287676,26.43,40.01,33.56,10621,NaN,8214,22001.86,33238,,97.1,1755165,,753571,135558,19,6072,3530,935,38304,42160,
2009,620600,武威,1927902,27.75,38.26,33.99,10068,NaN,8104,19104.86,33238,,95.31,1303189,,648944,122622,17,6068,1851,1573,36730,41572,
2008,620600,武威,2101088,23.35,36.81,39.84,11021,0.180870445,8233,17416.61,33238,,90.81,974983,,549682,104223,17,6065,1949,3248,50848,35661,
2007,620600,武威,1876523,25.56,35.5,38.95,9885,0.168663839,7302,15397.2,33238,256,96.99,884692,,466914,75246,14,5650,1616,3000,48240,32300,
2006,620600,武威,1616223,25.37,34.89,39.75,8633,0.164450142,5900,12971.71,33238,256,98.5,693669,,400600,56142,14,5022,1750,3226,41408,30249,
2005,620600,武威,1418113,27.37,32.1,40.53,7322,0.161448873,5900,11486.76,33238,255,95.8,579328,,349005,42469,14,4419,1323,2874,36310,27937,
2004,620600,武威,1080216,32.38,34.3,33.32,5595,0.157548883,4285,10060.56,33238,255,92.8,406389,,265002,34386,13,4133,1213,2567,31209,17420,
2003,620600,武威,900107,30.81,33.4,35.79,4668,0.154249065,5877,8949.95,33238,255,95.5,298092,0,231101,31804,13,3940,1190,2373,25226,10029,
2002,620600,武威,784706,31.77,31.69,36.54,4069,0.15264167,5789,7754.89,33238,256,85.1,255209,,202240,,13,3702,1200,2256,21063,10000,
2001,620600,武威,705247,32.84,30.37,36.78,3679,0.211974615,6063,6173.41,33238,258,79.32,250757,0,179500,,13,4187,1159,2110,15937,1100,
2000,620600,武威,,,,,,#DIV/0!,,,,,82.93,,,160100,,,3635,,,,,
1999,620600,武威,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1998,620600,武威,,38,24,38.1,,#DIV/0!,,,,,,,,71489,,,,,,,,
1997,620600,武威,279408,38.27,21.74,39.98,,#DIV/0!,,,,,,,,65404,,,,,,,,
1996,620600,武威,244028,41.7,20.4,38,,0.179946667,,4582,5081,97,,,,76846,,,,516,239,,,
1995,620600,武威,194255,40.3,19.6,40.1,,0.174067305,,4322,5081,97,,,,79784,,,,509,251,,,
1994,620600,武威,165185,39.331,19.261,41.408,,0.165338863,,2684.12,5081,97,37.2,,,61928,,,,359,191,,,
1993,620600,武威,102137,,,,,0.159208927,,,5081,97,,,,30079,2709,,,336,179,,,
1992,620600,武威,86461,,,,,0.157676813,,,,,,,,,2318,,,291,172,,,
1991,620600,武威,74300,38.627,26.245,35.128,844,0.151947464,,,5081,97.333,36,,,48178,,,,278,245,,,
1990,620600,武威,72600,44.215,25.482,30.441,842,0.15201005,,,5081,100,40.4,,,47406,,,,312,139,,,
2021,620700,张掖,5260000,29.28,19.58,51.33,46726,NaN,,89850,,,,,,2285769,269023,,10779,,,2564,25640000,142926
2020,620700,张掖,4670000,27.54,18.63,53.84,41177,#DIV/0!,,85779,,,,,,2010559,265827,,8215,,,,,138286
2019,620700,张掖,4490000,25.59,19.51,54.84,36314,NaN,4949,76479,38592,,,,,2069327,247301,,9844,,,67829,820000,133978
2018,620700,张掖,4077067,21.86,22.27,55.87,33105,NaN,28140,75492,38592,,,,,1760465,230195,,6109,,,73508,480000,130146
2017,620700,张掖,3769624,,,,30729,NaN,27325,68655,38592,,,,,1730520,234646,,6343,,,74738,380000,124122
2016,620700,张掖,3999436,25.61,27.54,46.86,32729,NaN,30082,57708,41924,,,3570220,,1609038,227292,,7944,,,84550,270000,121632
2015,620700,张掖,3735300,25.44,29.41,45.16,30704,NaN,47463,51569,41924,,,3311145,,1476181,197495,113,7852,,,83361,300000,118531
2014,620700,张掖,3617771,24.6,33.04,42.37,29852,NaN,35598,39602.43,41924,,,2806962,82957,1355538,174520,85,4798,5034,3547,68514,160000,287854
2013,620700,张掖,3359718,25.95,35.12,38.93,25647,NaN,4333,36090.6,41924,,128.04,2550423,46063,1060517,160653,74,4769,4283,3142,68106,140000,121504
2012,620700,张掖,2919280,28.05,35.52,36.44,24204,NaN,4255,33410.26,41924,,123.6,1995545,29586,945149,149867,53,4379,3205,1880,45350,120000,291631
2011,620700,张掖,2568376,27.86,37.38,34.76,21357,NaN,4809,26696.5,41924,,121.8,1778602,43290,802774,108085,49,5289,2733,1387,50486,87300,133069
2010,620700,张掖,2127010,29.3,35.45,35.25,17101,NaN,4843,23015.04,41924,,116.2,1519862,30239,676823,87894,48,5034,2427,1182,44489,77061,
2009,620700,张掖,1920761,27.95,37.75,34.29,14949,NaN,5002,21131.02,41924,,107.12,1131145,24007,572465,79304,26,4773,2233,1031,38694,49300,
2008,620700,张掖,1698559,28.98,38.28,32.73,13285,0.272692189,4739,18714.95,41924,,99.77,1066495,16142,475189,79378,36,4527,2017,941,34254,35975,
2007,620700,张掖,1466371,30.12,36.97,32.91,11514,0.2558266,4925,16378.27,41924,193,96.88,789644,5827,396080,49091,25,4495,1874,849,30576,32600,
2006,620700,张掖,1267042,30.06,35.38,34.55,9967,0.252143138,5027,13724.63,41924,192,91,590179,5868,348985,36488,26,4117,1684,763,30705,31000,
2005,620700,张掖,1107881,32.83,33.04,34.14,8651,0.24598678,5102,11975.51,41924,191,89.3,419302,3233,309308,28251,35,3641,1594,757,37963,28000,
2004,620700,张掖,993456,35.49,35.15,29.36,7784,0.239364226,5209,11182.65,41924,191,83.3,370683,,241181,23412,27,3456,1442,719,26637,20600,
2003,620700,张掖,837640,34.87,33.08,32.05,6589,0.239886444,5350,9996.86,41924,191,80.1,273982,0,215158,21010,28,3464,1319,679,24758,18982,
2002,620700,张掖,756600,36.3,31.29,32.41,5973,0.219141394,5087,9338.06,41924,186,86.3,229763,,195236,,23,3425,1270,655,22240,6645,
2001,620700,张掖,,,,,,#DIV/0!,,,,,75.14,,,,,,,,,,,
2000,620700,张掖,,,,,,#DIV/0!,,,,,91.4,,,154000,,,2277,,,,,
1999,620700,张掖,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1998,620700,张掖,,37.7,27.3,35,,#DIV/0!,,,,,,,,69734,,,,,,,,
1997,620700,张掖,197446,39.82,25.77,34.41,,#DIV/0!,,,,,,,,62028,,,,,,,,
1996,620700,张掖,171770,40.2,25.7,34.1,,0.232834507,,4997,4240,46,,,,58647,,,,393,121,,,
1995,620700,张掖,140846,43.5,22.8,33.7,,0.227960819,,4560,4240,46,,,,58291,,,,404,159,,,
1994,620700,张掖,99843,39.403,25.096,35.501,,0.217754687,,4147.86,4240,46,28.9,,,46921,,,,441,158,,,
1993,620700,张掖,85566,,,,,0.208941606,,,4240,46,,,,40040,1399,,,461,161,,,
1992,620700,张掖,73526,,,,,0.20155749,,,,,,,,,1175,,,357,124,,,
1991,620700,张掖,66000,43.939,21.97,34.091,1540,0.196490418,,,4240,46,27,,,46157,,,,345,123,,,
1990,620700,张掖,57500,45.739,21.043,33.391,1356,0.194929053,,,4240,46,26.6,,,42214,,,,326,107,,,
2021,620800,平凉,5540000,23.65,26.71,49.64,30192,NaN,,92778,,,,,,1912463,494253,,11966,,,672,1080000,171300
2020,620800,平凉,4760000,23.07,24.51,52.42,25623,#DIV/0!,,86228,,,,,,1656821,503068,,10939,,,,,161386
2019,620800,平凉,4570000,19.98,27.06,52.87,21514,NaN,9834,75160,11118,,,,,1675757,458973,,14700,,,287700,1920000,137762
2018,620800,平凉,3951651,22.24,26.29,51.47,17225,NaN,10442,70029,11170,,,,,2081051,415454,,12490,,,287700,1210000,130700
2017,620800,平凉,3546556,,,,16825,NaN,10003,61615,11170,,,,,2098139,382906,,12490,,,287700,1070000,128402
2016,620800,平凉,3673000,28.04,24.79,47.17,17486,NaN,10020,55693,11170,,,1659401,,1941643,381300,,12251,,,314800,260000,123600
2015,620800,平凉,3476994,27.09,27.88,45.02,18490,NaN,9795,53028,11170,,,1794609,,1774973,362770,31,11888,,,210000,170000,119500
2014,620800,平凉,3505533,24.18,35.96,39.87,16776,NaN,9593,49062.43,11170,,,2534914,,1628415,289849,30,11546,3504,5305,159700,160000,282635
2013,620800,平凉,3410775,22.28,42.98,34.75,14702,NaN,9004,49159.16,11170,,111.13,2972038,,1377453,344445,30,10159,3314,4776,116300,130000,110300
2012,620800,平凉,3245086,21.12,47.43,31.45,15607,NaN,12458,43424.4,11170,,104.1,2748267,,1222120,312147,20,8845,3606,4375,107100,100000,360900
2011,620800,平凉,2761872,20.64,48.3,31.06,13320,NaN,12035,36852.23,11170,,100.3,2058400,,1031458,206588,19,7853,3407,3638,62500,71600,359718
2010,620800,平凉,2318873,21.82,46.92,31.27,10504,NaN,26653,31304.35,11170,,95,1497855,,879800,169359,19,7208,3136,3331,44759,73600,
2009,620800,平凉,1956563,22.17,45.36,32.46,8899,NaN,9831,28247.76,11170,,89.1,1155000,,741200,158159,19,6625,3671,3237,39600,48200,
2008,620800,平凉,1750618,22.28,43.44,34.28,7982,0.155106691,8816,25864.09,11170,,88.8,1037748,2257,622560,144598,10,5767,1032,3371,31750,27100,
2007,620800,平凉,1478204,24.21,39.72,36.07,6753,0.155226381,7320,21710.67,11170,388,87.27,765242,,521254,87998,14,5333,946,3120,27554,25400,
2006,620800,平凉,1255928,23.45,39.39,37.17,5742,0.148261487,7320,15027.27,11170,370,87,631161,,456522,66922,14,5200,848,2906,21450,15000,
2005,620800,平凉,4749203,25.67,39,35.34,4915,0.147467339,7211,16081.33,11170,369,87.5,525159,,402401,47435,11,5008,793,2662,21432,13600,
2004,620800,平凉,963426,25.95,39.57,34.48,4322,0.134705962,12100,13519.61,11169,374,84.7,532009,,359060,40477,11,4815,742,2629,12782,14615,
2003,620800,平凉,806051,25.43,37.61,36.96,3627,0.134649991,7929,11046.25,11170,370,81.2,250293,6606,326358,34458,11,4379,679,2260,13799,15000,
2002,620800,平凉,727784,26.85,34.36,38.79,3313,0.130974885,122000,9396.69,11170,386,74.7,279964,300,296567,,11,4402,977,2211,16300,8000,
2001,620800,平凉,,,,,,#DIV/0!,,,,,83.7,,,,,,,,,,,
2000,620800,平凉,,,,,,#DIV/0!,,,,,66.76,,,250800,,,4056,,,,,
1999,620800,平凉,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1998,620800,平凉,,19.6,32.2,48.2,,#DIV/0!,,,,,,,,80588,,,,,,,,
1997,620800,平凉,159592,19.04,24.31,56.65,,#DIV/0!,,,,,,,,66499,,,,,,,,
1996,620800,平凉,142000,27.2,24.5,48.3,,0.275177305,,3822,1936,70,,,,45630,,,,332,225,,,
1995,620800,平凉,125244,24,17.2,58.8,,0.266425121,,3607,1936,70,,,,36688,,,,298,102,,,
1994,620800,平凉,101295,24.839,18.885,56.275,,0.258748152,,3924.26,1936,70,12.1,,,38144,,,,697,409,,,
1993,620800,平凉,39755,,,,,0.250627195,,,1936,70,,,,32792,927,,,603,396,,,
1992,620800,平凉,36998,,,,,0.254092168,,,,,,,,,1073,,,583,377,,,
1991,620800,平凉,32200,30.745,37.888,31.366,824,0.251908397,,,1936,70.667,10,,,21780,,,,981,292,,,
1990,620800,平凉,31100,34.727,35.691,29.582,806,0.252310062,,,1936,70.667,11.81,,,21444,,,,833,205,,,
2021,620900,酒泉,7630000,17.43,43.25,39.32,72356,NaN,,86443,,,,,,2909404,249052,,5735,,,362,20390000,172998
2020,620900,酒泉,6580000,17.23,41.22,41.55,62187,#DIV/0!,,80752,,,,,,2439365,237597,,6226,,,,,164269
2019,620900,酒泉,6180000,15.14,41.07,43.83,54729,NaN,5844,72880,168080,,,,,2556987,229008,,6226,,,90696,510000,128697
2018,620900,酒泉,5968871,12.37,33.98,53.65,53043,NaN,5042,67160,168000,,,,,1886384,218071,,5410,,,95901,450000,126816
2017,620900,酒泉,5517725,,,,49200,NaN,5035,61395,168072,,,,,2076397,212074,,5169,,,99751,370000,121869
2016,620900,酒泉,5779341,15.09,34.99,49.92,51721,NaN,4700,56144,193974,,,4117152,63143,1933330,220740,,6581,,,56189,250000,117939
2015,620900,酒泉,5447963,14.43,37.08,48.49,48920,NaN,4635,54778,193974,,,4689743,80546,1765598,207213,36,4283,,,34562,180000,115207
2014,620900,酒泉,6105496,11.66,47.84,40.49,55000,NaN,5500,49757.27,193974,,,6995438,70629,1568181,184212,48,5639,8029,3090,29865,120000,276916
2013,620900,酒泉,6419382,10.59,53.02,36.39,57832,NaN,5900,43862.52,193974,,33.33,7494809,84200,1392824,165546,45,5345,7687,2896,108800,120000,130730
2012,620900,酒泉,5745681,12.15,53.49,34.36,52116,NaN,5524,41703.19,193974,,32.6,6966888,73369,1244000,142167,51,6005,6957,2458,94900,100000,303074
2011,620900,酒泉,4815458,12.25,52.32,35.42,43825,NaN,6172,37096.83,193974,,33.2,5673508,44446,1052365,106840,49,4928,6527,2140,78500,96000,312500
2010,620900,酒泉,4050348,13.38,51.89,34.73,39562,NaN,5500,32820.07,193974,,36.7,4880265,30993,875903,90555,47,4920,6104,1823,79200,91300,
2009,620900,酒泉,3210478,14.63,48.32,37.05,31512,NaN,5800,30557.32,193974,,36.06,2686930,19951,758256,81248,47,4480,1801,1673,71800,72700,
2008,620900,酒泉,2480173,17.4,49.05,33.55,24759,0.345511482,5100,27016.87,193974,,36.64,2797658,17402,625290,74097,48,3874,1869,1645,65800,48100,
2007,620900,酒泉,2032500,19.83,45.39,34.78,20524,0.344661751,4800,24197.42,193974,143,36.28,2486644,14661,515810,46113,45,3801,1811,1574,54800,49300,
2006,620900,酒泉,1732453,19.7,44.37,35.93,17626,0.346643265,4970,21625.03,193974,137,37,1746096,12052,440123,33875,45,3730,1755,1512,48300,38600,
2005,620900,酒泉,1460284,20.18,42.74,37.09,14937,0.34987813,5656,16962.56,191200,125,36.7,1398443,9894,383328,28133,44,3861,1656,1443,44300,28341,
2004,620900,酒泉,1222504,21.94,46.19,31.87,12617,0.367556468,5184,15865.48,193974,112,28.3,1223650,10707,340018,23560,41,3210,1530,1373,37200,36200,
2003,620900,酒泉,1066855,23.64,42.94,33.42,11066,0.366724739,4900,14526.03,193974,112,27.7,977030,11484,310003,20704,38,3445,1410,1612,32700,27600,
2002,620900,酒泉,950705,20.73,45.04,34.22,9905,0.494698545,5300,13174.73,193974,112,78.7,937524,10614,299372,,34,3251,1726,1849,38492,15247,
2001,620900,酒泉,,,,,,#DIV/0!,,,,,24.21,,,,,,,,,,,
2000,620900,酒泉,,,,,,#DIV/0!,,,,,39.88,,,279300,,,3327,,,,,
1999,620900,酒泉,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1998,620900,酒泉,,37.6,29.6,32.8,,#DIV/0!,,,,,,,,106064,,,,,,,,
1997,620900,酒泉,141841,36.84,28.84,34.32,,#DIV/0!,,,,,,,,92102,,,,,,,,
1996,620900,酒泉,130177,36.5,28.6,34.9,,0.290191163,,5044,,,,,,81168,,,,243,120,,,
1995,620900,酒泉,105646,37.3,31.8,30.8,,0.28177496,,4744,3386,42,,,,77470,,,,206,88,,,
1994,620900,酒泉,85435,35.904,31.905,32.191,,0.272493573,,4136.5,3386,42,22.2,,,51041,,,,222,137,,,
1993,620900,酒泉,65307,,,,,0.2554507,,,3386,42,,,,31470,1953,,,441,179,,,
1992,620900,酒泉,55731,,,,,0.248936866,,,,,,,,,1514,,,443,142,,,
1991,620900,酒泉,47200,49.153,17.797,33.051,1585,0.240460526,,,3386,42,24,,,36695,,,,508,186,,,
1990,620900,酒泉,48000,45.417,22.708,31.667,1639,0.235567352,,,3386,42,22.91,,,31511,,,,481,96,,,
2021,621000,庆阳,8850000,12.66,50.4,37.06,40810,NaN,,88588,,,,,,1980098,511158,,10889,,,2640,6560000,167831
2020,621000,庆阳,7550000,12.93,47.22,39.85,34593,#DIV/0!,,80521,,,,,,1770374,528529,,9798,,,,,158500
2019,621000,庆阳,7430000,11.47,50.14,38.38,32690,NaN,13648,73250,27117,,,,,1822123,517098,,9616,,,591319,680000,146317
2018,621000,庆阳,7081499,10.03,50.22,39.75,31312,NaN,17656,73919,27117,,,,,2536303,445427,,9619,,,149716,520000,143025
2017,621000,庆阳,5854994,,,,26031,NaN,17000,68699,27119,,,,,2389481,427411,,7530,,,93385,430000,142731
2016,621000,庆阳,5978324,14.3,48.17,37.53,26734,NaN,16051,61669,27119,,,5208361,3767,2231075,428865,,8977,,,120129,210000,143000
2015,621000,庆阳,6094314,13.5,52.71,33.79,27366,NaN,14350,56002,27119,,,4218471,,2039560,408253,27,8525,,,74884,150000,140965
2014,621000,庆阳,6688607,11.62,59.77,28.61,30087,NaN,15301,47917.57,27119,,,7486017,12848,1871156,327259,26,7895,2786,3102,57442,160000,282400
2013,621000,庆阳,6053667,12.72,59.47,27.81,22931,NaN,16466,43942.19,27119,,158.95,7432921,16204,1480528,363942,24,7474,3734,4601,38838,130000,139296
2012,621000,庆阳,5293638,13.79,62.24,23.97,23882,NaN,13162,37930.58,27119,,155.8,7792083,21547,1298367,294033,24,7354,3483,3363,33300,110000,279840
2011,621000,庆阳,4543451,12.82,63.38,23.8,20506,NaN,11840,34628.36,27119,,122.4,6791435,17017,1121131,255580,22,6204,3372,3324,111463,95148,126635
2010,621000,庆阳,3576095,14.27,60.08,25.65,16172,NaN,11273,28551.65,27119,,127.7,4058931,53592,934666,191434,23,4827,8203,3265,117857,90000,
2009,621000,庆阳,3022211,14.39,59.96,25.64,11973,NaN,10795,27233.15,27119,,110.87,2885452,39061,781743,181728,22,5438,8117,3035,30499,55000,
2008,621000,庆阳,2484991,15.56,60.55,23.89,9872,0.120861248,9441,22179.14,27119,,107.04,2481127,15856,622942,158727,22,5418,1283,2119,61912,37352,
2007,621000,庆阳,2008175,16.15,59.22,24.63,7998,0.121117406,7925,17452.07,27119,443,88.1,1993502,9152,487181,107889,21,4550,1264,1980,57900,29542,
2006,621000,庆阳,1715456,16.54,57.77,25.69,6830,0.118850018,7637,13923.6,27119,444,95,1720907,6431,412729,81913,20,4308,1181,1872,50930,29010,
2005,621000,庆阳,1438181,18.67,54.27,27.06,5582,0.118787059,7845,12082.53,27119,443,99.8,1277105,6683,362803,61723,17,4173,1114,1770,44258,23407,
2004,621000,庆阳,1083062,21.29,49.26,29.45,4227,0.119365772,7758,11138.95,27119,439,99.3,887178,,259271,46796,15,4265,1032,1686,39245,18728,
2003,621000,庆阳,896916,21.48,44.53,33.99,3513,0.119213325,7835,10849.69,27119,440,98.1,652325,0,222200,42462,11,4506,932,1642,26342,13000,
2002,621000,庆阳,801400,21.72,43,35.28,3172,0.12366562,7493,10107.84,27119,440,75.5,528004,,166700,,15,4652,921,1589,24900,14016,
2001,621000,庆阳,,,,,,#DIV/0!,,,,,79.05,,,,,,,,,,,
2000,621000,庆阳,,,,,,#DIV/0!,,,,,69.82,,,136400,,,4424,,,,,
1999,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1998,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1997,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1996,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1995,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1994,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1993,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1992,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1991,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1990,621000,庆阳,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
2021,621100,定西,5010000,19.56,16.57,63.87,19915,NaN,,80023,,,,,,1855061,614291,,15552,,,298,18900000,180810
2020,621100,定西,4410000,20.05,15.88,64.07,17430,#DIV/0!,,75289,,,,,,1592121,597785,,15031,,,,,171900
2019,621100,定西,4160000,18.74,15.93,65.42,14746,NaN,3412,69222,19609,,,,,1600443,546810,,9898,,,130236,680000,166915
2018,621100,定西,3562609,18.41,22.04,59.55,12656,NaN,6415,66545,19609,,,,,1310519,494318,,12185,,,134507,600000,162668
2017,621100,定西,3273102,,,,11693,NaN,6718,61813,19609,,,,,1261366,483714,,11876,,,141463,400000,161427
2016,621100,定西,3310768,23.79,22.79,53.43,11892,NaN,6728,54735,19609,,,1806108,9161,1176647,458960,,13484,,,135807,320000,158177
2015,621100,定西,3049178,25.24,21.81,52.95,10987,NaN,6114,4958,19609,,,1521679,5418,1073779,402559,25,13150,,,118900,150000,154770
2014,621100,定西,2901643,25.37,24.28,50.35,10470,NaN,6119,40823.5,19609,,,1425920,,985119,323907,25,12775,4306,4830,110787,120000,312365
2013,621100,定西,2522182,29.41,25.6,44.98,8407,NaN,6042,36968.05,20330,,153.24,1324612,,826356,295906,22,11443,4918,4379,109844,100000,146407
2012,621100,定西,2232711,30.32,26.96,42.72,8157,NaN,7035,36835.62,19609,,137.4,1015072,4327,733404,307267,25,10368,4952,3327,95044,80000,294461
2011,621100,定西,1869420,28.29,27.71,44,6916,NaN,6812,32711.53,20330,,123.6,648396,4321,634270,225318,22,8629,2607,2597,60000,47000,307600
2010,621100,定西,1560193,30.58,25.11,44.31,5304,NaN,7780,27754.78,20330,,119.9,527495,2315,533223,182205,22,7354,2166,2241,59740,37000,
2009,621100,定西,1319394,30.77,23.57,45.66,4491,NaN,7729,22887.55,20330,,111.39,445159,1057,454166,172474,22,6836,4306,1612,59648,34000,
2008,621100,定西,1056400,36.13,22.9,40.97,3602,0.106611598,6187,20887.47,20330,,98.15,416450,8420,381487,143348,20,5986,1914,1985,43050,31000,
2007,621100,定西,1001031,38.07,22.92,39.01,3398,0.102829934,5887,17976.23,20330,514,83.05,425785,11379,327252,97477,23,5123,80166,118782,41000,26000,
2006,621100,定西,807964,40.1,18.79,41.11,2767,0.098426675,5287,14334.6,20330,514,85.1,204642,10203,284939,76729,20,4454,7485,1132,29869,18960,
2005,621100,定西,713036,41.39,18.2,40.42,2396,0.095959942,5814,12389.33,20330,514,90.7,170493,41625,251095,55467,19,4530,1536,1621,27913,17100,
2004,621100,定西,630590,41.4,26.8,31.8,2126,0.107512037,3719,11460.51,20330,514,90.1,179126,,224790,45159,17,4454,1319,1485,9901,16516,
2003,621100,定西,560458,41.57,25.51,32.91,1892,0.10747427,3712,10951.53,20330,514,83.4,154871,0,204188,40891,17,4474,1305,1441,13908,16516,
2002,621100,定西,,,,,,#DIV/0!,,,,,32.9,,,,,,,,,,,
